company_ticker,event_date
MOS,4/01/2011
MOS,7/20/2011
MOS,1/06/2012
MOS,7/17/2013
MOS,11/06/2013
MOS,2/12/2014
MOS,5/07/2014
MOS,8/01/2014
MOS,10/31/2014
MOS,2/12/2015
MOS,5/01/2015
MOS,8/05/2015
MOS,11/04/2015
MOS,2/12/2016
MOS,5/05/2016
MOS,8/03/2016
MOS,11/02/2016
MOS,2/08/2017
MOS,5/03/2017
MOS,8/02/2017
MOS,11/01/2017
MOS,2/27/2019
MOS,5/08/2019
MOS,8/07/2019
MOS,11/06/2019
MOS,2/21/2020
MOS,8/05/2020
MOS,11/04/2020
MPC,2/02/2012
MPC,5/02/2012
MPC,8/01/2012
MPC,11/02/2012
MPC,1/31/2013
MPC,5/01/2013
MPC,8/02/2013
MPC,11/01/2013
MPC,1/30/2014
MPC,5/02/2014
MPC,8/01/2014
MPC,10/31/2014
MPC,2/05/2015
MPC,5/01/2015
MPC,7/31/2015
MPC,10/30/2015
MPC,2/04/2016
MPC,4/29/2016
MPC,7/29/2016
MPC,10/28/2016
MPC,2/02/2017
MPC,4/28/2017
MPC,7/28/2017
MPC,10/27/2017
MPC,2/08/2019
MPC,5/09/2019
MPC,8/02/2019
MPC,11/01/2019
MPC,1/30/2020
MPC,5/06/2020
MPC,8/04/2020
MPC,11/03/2020
MRO,11/06/2020
MSCI,5/06/2011
MSCI,8/05/2011
MSCI,11/03/2011
MSCI,2/03/2012
MSCI,5/03/2012
MSCI,8/03/2012
MSCI,11/07/2012
MSCI,2/08/2013
MSCI,5/02/2013
MSCI,8/02/2013
MSCI,11/01/2013
MSCI,2/07/2014
MSCI,5/01/2014
MSCI,8/01/2014
MSCI,10/31/2014
MSCI,2/06/2015
MSCI,5/01/2015
MSCI,7/31/2015
MSCI,10/30/2015
MSCI,2/05/2016
MSCI,4/29/2016
MSCI,7/29/2016
MSI,7/29/2011
MSI,10/28/2011
MSI,1/26/2012
MSI,4/26/2012
MSI,7/26/2012
MSI,10/25/2012
MSI,1/24/2013
MSI,4/25/2013
MSI,7/25/2013
MSI,10/24/2013
MSI,1/23/2014
MSI,5/02/2014
MSI,8/06/2014
MSI,11/05/2014
MSI,2/05/2015
MSI,5/07/2015
MTD,2/05/2010
MTD,4/30/2010
MTD,7/23/2010
MTD,11/05/2010
MTD,2/11/2011
MTD,5/05/2011
MTD,7/29/2011
MTD,11/04/2011
MTD,2/09/2012
MTD,5/04/2012
MTD,7/27/2012
MTD,11/02/2012
MTD,2/07/2013
MTD,5/03/2013
MTD,7/26/2013
MTD,11/08/2013
MTD,2/06/2014
MTD,5/09/2014
MTD,7/25/2014
MTD,11/07/2014
MTD,2/06/2015
MTD,5/08/2015
MTD,7/31/2015
MTD,11/06/2015
MTD,2/05/2016
MTD,5/06/2016
MTD,7/29/2016
MTD,11/04/2016
MTD,2/03/2017
MTD,5/05/2017
MTD,7/28/2017
MTD,11/03/2017
MTD,2/08/2019
MTD,5/10/2019
MTD,8/02/2019
MTD,11/08/2019
MTD,2/07/2020
MTD,5/08/2020
MTD,7/31/2020
MTD,11/06/2020
NBL,4/29/2011
NBL,7/29/2011
NBL,10/21/2011
NBL,2/10/2012
NBL,4/27/2012
NBL,7/27/2012
NBL,10/26/2012
